monthlyPayment_t,principalDue_t,totalBalance_t,interestDue_t,activeLoanCount_t
702654.9044247608,309835.7972660266,28354374.317749992,392819.1071587327,1500
702654.9044247608,314324.50356824044,28024091.955234975,388330.4008565178,1499
702654.9044247608,318825.9565164291,27698248.63026923,383828.94790832966,1498
702654.9044247608,324005.0469046655,27324419.738786418,378649.8575200936,1495
702654.9044247608,328644.9805144984,26987718.900979374,374009.9239102598,1494
702654.9044247608,333137.8034605302,26661717.54363082,369517.10096422903,1494
702654.9044247608,337693.3502803252,26331223.363336217,364961.554144434,1494
702654.9044247608,342491.98902576976,25982544.40243111,360162.9153989887,1493
702654.9044247608,347173.8522034422,25643012.512649413,355481.0522213164,1493
702654.9044247608,352316.8784142811,25270955.27779184,350338.0260104791,1491
702654.9044247608,358008.6773522778,24862121.544811808,344646.2270724808,1487
702654.9044247608,362980.8109540756,24500105.908016358,339674.09347068245,1486
702654.9044247608,368332.0656603207,24115850.431193825,334322.838764439,1484
702654.9044247608,373899.4912047079,23715798.67216185,328755.4132200502,1482
702654.9044247608,379483.10572553857,23313287.929364923,323171.79869922047,1480
702654.9044247608,384600.95321028854,22942445.200252727,318053.95121447067,1480
702654.9044247608,390442.9616237596,22518898.419326033,312211.9428009993,1477
702654.9044247608,396037.6773596667,22113301.482350223,306617.22706509306,1475
702654.9044247608,401543.6011240565,21716093.439887777,301111.3033007023,1474
702654.9044247608,407348.3586463213,21297708.868614085,295306.5457784379,1472
702654.9044247608,413379.3582476244,20859179.27039495,289275.5461771348,1469
702654.9044247608,419461.01177678816,20422708.68649421,283193.8926479708,1466
702654.9044247608,425050.35492106277,20018121.58636183,277604.5495036966,1466
702654.9044247608,430943.3663609319,19592047.5124403,271711.5380638275,1465
702654.9044247608,437349.823439118,19127144.690761086,265305.08098564064,1461
702654.9044247608,443157.3512168433,18706981.46662495,259497.55320791615,1461
702654.9044247608,449819.4861009943,18227795.86764695,252835.41832376496,1457
702654.9044247608,456115.86718353897,17771073.15120886,246539.03724121992,1455
702654.9044247608,462482.62581135595,17312137.238921054,240172.2786134027,1453
702654.9044247608,469028.5134564059,16837368.214056447,233626.39096835334,1451
702654.9044247608,475454.0270885934,16372833.682079691,227200.87733616596,1449
702654.9044247608,481842.1585422545,15909909.106115121,220812.74588250462,1448
702654.9044247608,488291.0812408875,15443395.132647153,214363.82318387102,1447
702654.9044247608,495013.2584639897,14959151.217931246,207641.64596076857,1445
702654.9044247608,501515.607953843,14489473.662317494,201139.2964709153,1445
702654.9044247608,508451.72274309676,13986996.03094662,194203.18168166257,1443
702654.9044247608,515659.519902592,13464345.364445493,186995.384522167,1439
702654.9044247608,522843.3907973067,12947095.502109371,179811.5136274519,1436
702654.9044247608,530017.7677182092,12432827.921876106,172637.1367065492,1434
702654.9044247608,537579.4447747146,11889458.08469003,165075.4596500446,1429
702654.9044247608,545222.8213920161,11337286.255761221,157432.08303274267,1424
702654.9044247608,553471.3897994335,10744637.536198407,149183.51462532455,1415
702654.9044247608,560894.6577468993,10208883.552111872,141760.24667785905,1411
702654.9044247608,568193.2065793275,9683610.265278969,134461.69784543166,1410
702654.9044247608,575697.4160499735,9142261.088042505,126957.48837478548,1408
702654.9044247608,583369.8902258789,8587460.879239066,119285.01419887814,1405
702654.9044247608,591233.0041119431,8021724.454543659,111421.90031281556,1402
702654.9044247608,599175.9180736223,7449098.724977144,103478.98635113634,1396
702654.9044247608,606847.0907948693,6895997.31866861,95807.81362988948,1395
702654.9044247608,614583.4237958123,6338428.499433125,88071.48062894645,1395
702654.9044247608,622690.8754821949,5754497.777278214,79964.02894256348,1328
702654.9044247608,630060.2369810666,5223831.011142881,72594.66744369255,1276
702654.9044247608,637296.3763265236,4701350.045469169,65358.52809823502,1233
702654.9044247608,644431.9692277266,4188383.5338683976,58222.93519703196,1176
702654.9044247608,651244.4109946698,3699934.7110167663,51410.49343008984,1120
702654.9044247608,657591.0255284542,3243300.3390350444,45063.87889630386,1060
702654.9044247608,663571.1986308044,2813570.640823789,39083.70579395549,995
702654.9044247608,669248.9781080247,2406032.9481454957,33405.926316735575,909
702654.9044247608,674446.721190665,2031338.0971544883,28208.18323409507,825
702654.9044247608,679229.1984458258,1686738.3559271756,23425.70597893405,750
702654.9044247608,683387.6414962198,1387247.0167507452,19267.262928539596,655
702654.9044247608,687073.2443203119,1121300.9605166528,15581.660104448256,557
702654.9044247608,690167.7039498689,897871.1098684446,12487.200474890697,467
702654.9044247608,692756.1423410124,711295.3003023453,9898.76208374727,409
702654.9044247608,695022.2133611148,547875.1463229245,7632.691063645526,343
702654.9044247608,696869.2799431522,414756.24336883286,5785.624481607944,281
702654.9044247608,698407.8713662387,303717.2155418744,4247.033058521761,239
702654.9044247608,699693.47104964,211234.37658572115,2961.4333751204026,197
702654.9044247608,700752.0934433095,135805.60221258347,1902.8109814508964,152
702654.9044247608,701548.2942798549,78914.48009456455,1106.6101449056118,118
702654.9044247608,702219.6537299947,31091.23606581647,435.2506947662176,85
702654.9044247608,702654.9044247608,2.2919266484677792e-10,3.4810086114399983e-12,22
