TR_A_interestDueVal_t,TR_A_interestPayment_t,TR_A_interestShortfall_t,TR_A_principalPayment_t,TR_A_notionalBalanceVal_t,TR_B_interestDueVal_t,TR_B_interestPayment_t,TR_B_interestShortfall_t,TR_B_principalPayment_t,TR_B_notionalBalanceVal_t,reserveAccount_t
0,0,0,0,21265780.738312494,0,0,0,0,7088593.579437498,392819.10715873423
118071.8269031482,118071.8269031482,0,232376.84794951996,21033403.890362974,39357.29276476059,39357.29276476059,0,77458.94931650665,7011134.630120992,617142.3020253916
115445.33855835478,115445.33855835478,0,240676.94241764594,20792726.947945327,38481.796268767015,38481.796268767015,0,80225.64747254865,6930908.9826484425,847044.1151066015
114072.22810688778,114072.22810688778,0,247309.34174784023,20545417.606197488,38024.092585727805,38024.092585727805,0,82436.44724928007,6848472.535399162,1062424.5505005943
112601.7342172405,112601.7342172405,0,264848.9606239274,20280568.64557356,37533.92774249969,37533.92774249969,0,88282.98687464246,6760189.54852452,1286298.8124511167
111090.04974140454,111090.04974140454,0,272267.74965553946,20008300.89591802,37030.03269789922,37030.03269789922,0,90755.91655184649,6669433.631972673,1507695.8309760436
109561.08806292473,109561.08806292473,0,275379.5267223666,19732921.369195655,36520.378583244164,36520.378583244164,0,91793.1755741222,6577640.456398551,1726575.9184743103
108014.57367447717,108014.57367447717,0,278540.92509594315,19454380.44409971,36004.8735627199,36004.8735627199,0,92846.97503198106,6484793.48136657,1938289.1600729553
106431.03201098235,106431.03201098235,0,285209.86495353165,19169170.57914618,35477.02611180779,35477.02611180779,0,95069.95498451055,6389723.52638206,2151862.154171484
104828.82800181283,104828.82800181283,0,288571.118536118,18880599.460610062,34942.95787629651,34942.95787629651,0,96190.37284537267,6293533.153536688,2358307.0524481414
103169.09294545982,103169.09294545982,0,298932.9691751611,18581666.491434902,34389.71261671054,34389.71261671054,0,99644.32305838703,6193888.8304783,2558336.3868928473
101404.69515618213,101404.69515618213,0,317783.65344275086,18263882.83799215,33801.57976429808,33801.57976429808,0,105927.88448091695,6087960.945997383,2759599.8037748556
99607.81230543583,99607.81230543583,0,323634.50044479326,17940248.337547354,33202.61855334969,33202.61855334969,0,107878.16681493109,5980082.779182453,2961112.21168051
97753.69032659412,97753.69032659412,0,333943.7738731461,17606304.56367421,32584.57762473164,32584.57762473164,0,111314.5912910487,5868768.187891403,3151540.1698565525
95826.63491996845,95826.63491996845,0,347079.7295403622,17259224.83413385,31942.225542937445,31942.225542937445,0,115693.24318012073,5753074.944711283,3346943.1080928687
93827.91843595041,93827.91843595041,0,359986.5236441529,16899238.310489696,31275.98642494889,31275.98642494889,0,119995.50788138431,5633079.4368298985,3539893.154446441
91812.07539928182,91812.07539928182,0,363071.16731421545,16536167.143175479,30604.038453592024,30604.038453592024,0,121023.72243807181,5512055.714391827,3713730.6068555103
89709.59539639157,89709.59539639157,0,378675.2515045474,16157491.891670933,29903.211480924925,29903.211480924925,0,126225.08383484915,5385830.630556977,3900735.027043288
87548.86518479536,87548.86518479536,0,389166.62949700863,15768325.262173925,29182.967763571323,29182.967763571323,0,129722.2098323362,5256108.4207246415,4085114.4973956263
85355.88983329854,85355.88983329854,0,394974.264501804,15373350.99767212,28451.975661572575,28451.975661572575,0,131658.088167268,5124450.332557373,4266613.177679194
83101.35543590212,83101.35543590212,0,406061.5933498115,14967289.404322308,27700.463868676045,27700.463868676045,0,135353.86444993716,4989096.468107436,4439567.455712554
80761.06749976831,80761.06749976831,0,421506.5644335568,14545782.839888752,26920.367550425548,26920.367550425548,0,140502.18814451894,4848594.279962917,4615079.913310333
78347.9607351341,78347.9607351341,0,434621.8797558162,14111160.960132934,26115.998278776715,26115.998278776715,0,144873.9599186054,4703720.320044312,4788220.50380012
75918.24320328723,75918.24320328723,0,437613.6259047899,13673547.334228145,25306.092082313695,25306.092082313695,0,145871.20863492996,4557849.111409382,4953238.2313849805
73447.80803621835,73447.80803621835,0,444947.2322825779,13228600.101945568,24482.61333486918,24482.61333486918,0,148315.74409419263,4409533.36731519,5111961.446237688
70883.39176662845,70883.39176662845,0,461874.06040217506,12766726.041543392,23627.807539615802,23627.807539615802,0,153958.02013405834,4255575.347181131,5276947.800139361
68300.7599892313,68300.7599892313,0,465154.83453116356,12301571.207012229,22766.929905783887,22766.929905783887,0,155051.61151038785,4100523.7356707435,5429003.077475069
65615.51694986549,65615.51694986549,0,483636.03072792606,11817935.176284302,21871.848503075125,21871.848503075125,0,161212.01024264202,3939311.7254281016,5583932.926616689
62870.27835727948,62870.27835727948,0,494441.7607104104,11323493.415573891,20956.768573921887,20956.768573921887,0,164813.92023680347,3774497.805191298,5733835.023722007
60063.20679409675,60063.20679409675,0,505578.4258200909,10817914.9897538,20021.07764559874,20021.07764559874,0,168526.1419400303,3605971.6632512677,5887377.130250665
57184.34933533634,57184.34933533634,0,518507.7007834625,10299407.288970336,19061.458075001352,19061.458075001352,0,172835.90026115417,3433135.7629901133,6034965.218466438
54255.23879508479,54255.23879508479,0,527558.7254050407,9771848.563565295,18085.087469949314,18085.087469949314,0,175852.90846834687,3257282.8545217663,6183437.63808391
51284.8571160712,51284.8571160712,0,534992.0226678491,9236856.540897446,17094.959812655467,17094.959812655467,0,178330.67422261636,3078952.18029915,6325267.798283839
