monthlyPayment_t,principalDue_t,totalBalance_t,interestDue_t,activeLoanCount_t
702654.9044247608,309835.7972660266,28354374.317749992,392819.1071587327,1500
702654.9044247608,314102.5648280346,28044538.520483937,388552.3395967235,1500
702654.9044247608,318951.7251969051,27696332.726441834,383703.17922785366,1498
702654.9044247608,323748.34062788554,27344295.57253849,378906.56379687355,1496
702654.9044247608,328409.18673301267,27004421.795826726,374245.71769174567,1495
702654.9044247608,333501.27084834705,26634314.431810886,369153.63357641204,1493
702654.9044247608,338134.4132051629,26298094.862643123,364520.49121959636,1492
702654.9044247608,343049.3984292518,25944481.374208633,359605.5059955067,1491
702654.9044247608,347898.0109968155,25592202.170982774,354756.893427943,1490
702654.9044247608,352638.7552062577,25248473.637187257,350016.14921850257,1490
702654.9044247608,357736.71798265533,24877468.83737727,344918.18644210306,1489
702654.9044247608,363069.3608606788,24492140.62057188,339585.5435640792,1487
702654.9044247608,369238.7137534429,24051387.917453937,333416.19067131664,1481
702654.9044247608,374492.9794248785,23669706.943198442,328161.9249998796,1480
702654.9044247608,380011.1485394157,23264427.167962827,322643.75588534353,1478
702654.9044247608,385490.185158794,22867549.32225593,317164.7192659651,1476
702654.9044247608,391238.8454965495,22452116.796248846,311416.05892820965,1473
702654.9044247608,397136.09246608533,22026370.70659856,305518.8119586741,1470
702654.9044247608,402877.12591246923,21610792.57449513,299777.77851228946,1468
702654.9044247608,409630.675017999,21122416.856522214,293024.2294067597,1462
702654.9044247608,415702.7705093175,20686924.199239954,286952.1339154412,1459
702654.9044247608,421515.231321619,20268412.371853985,281139.6731031399,1457
702654.9044247608,427368.06247602985,19843331.0936791,275286.8419487295,1455
702654.9044247608,433916.35945540573,19373142.244980752,268738.5449693534,1451
702654.9044247608,440772.7516382897,18878308.827115256,261882.1527864686,1445
702654.9044247608,447362.66767267813,18397468.436630838,255292.23675208108,1440
702654.9044247608,453563.6546843864,17947987.638672337,249091.24974037232,1437
702654.9044247608,459531.4591304714,17516565.440295678,243123.44529428723,1436
702654.9044247608,466123.9250499195,17039765.020205863,236530.97937483853,1432
702654.9044247608,472624.5473375925,16572987.974950727,230030.35708716634,1430
702654.9044247608,479407.4657087189,16079902.904569345,223247.43871603996,1426
702654.9044247608,485803.4273680387,15616621.707375666,216851.4770567199,1424
702654.9044247608,492365.20246858866,15141574.655822607,210289.70195616956,1422
702654.9044247608,499029.81853161665,14659356.38266793,203625.08589314166,1419
702654.9044247608,505599.584222268,14185121.511098834,197055.3202024902,1418
702654.9044247608,512480.99036697706,13690161.305775879,190173.91405778207,1415
702654.9044247608,519293.9196219763,13198276.026937703,183360.98480278262,1413
702654.9044247608,526745.8801362703,12666855.217900194,175909.02428848846,1408
702654.9044247608,533692.6009902554,12162752.668011943,168962.30343450248,1406
702654.9044247608,540928.6718797719,11643225.036312712,161726.23254498735,1403
702654.9044247608,547883.9013914189,11141603.411606682,154771.0030333399,1402
702654.9044247608,555118.2897477449,10617732.991104629,147536.6146770131,1399
702654.9044247608,562167.0984537391,10109534.817887295,140487.805971019,1399
702654.9044247608,569314.9426845826,9594287.835963953,133339.96174017625,1399
702654.9044247608,576789.3042024077,9054525.40290448,125865.60022235106,1396
702654.9044247608,584124.5557079886,8526028.763156142,118530.34871676793,1396
702654.9044247608,591691.7651168755,7980130.358868692,110963.13930788293,1395
702654.9044247608,599394.6489191434,7424815.299376812,103260.2555056148,1393
702654.9044247608,607099.2125516275,6869807.132478693,95555.69187313128,1392
702654.9044247608,615114.1206611544,6294059.142542261,87540.78376360463,1387
702654.9044247608,623080.0041752488,5722044.073284612,79574.90024950988,1325
702654.9044247608,630333.5503072749,5200005.3184068585,72321.3541174838,1274
702654.9044247608,637458.9398500671,4687314.3756327005,65195.96457469063,1229
702654.9044247608,644420.4533648067,4186749.4075158695,58234.45105995181,1174
702654.9044247608,651075.3672396484,3708877.769838726,51579.53718511124,1122
702654.9044247608,657568.8458735195,3239903.783604273,45086.05855123862,1060
702654.9044247608,663675.837242605,2800820.5222101444,38979.06718215483,993
702654.9044247608,669292.5565134785,2397141.6797311557,33362.347911281024,911
702654.9044247608,674522.15994523,2021756.911714649,28132.744479529607,827
702654.9044247608,679169.0759900206,1686941.9967332608,23485.82843473878,754
702654.9044247608,683372.7873147288,1384566.3001885398,19282.117110030482,656
702654.9044247608,687087.2603630807,1117323.0903935952,15567.644061679368,553
702654.9044247608,690168.2720664643,896186.6101815426,12486.63235829512,466
702654.9044247608,692723.7252201778,711950.6305611625,9931.17920458181,408
702654.9044247608,695038.3626864342,545154.9499223378,7616.541738326256,342
702654.9044247608,696860.0217838862,414400.29952331027,5794.882640873808,284
702654.9044247608,698419.9037317195,302296.3432142379,4235.0006930410345,240
702654.9044247608,699704.1307600368,210237.72761025425,2950.7736647237857,198
702654.9044247608,700797.9616343939,132240.55243052324,1856.9427903666947,156
702654.9044247608,701574.6756832742,76846.62499132694,1080.228741486289,118
702654.9044247608,702231.3902465607,30242.98784104307,423.5141782002848,85
702654.9044247608,702654.9044247608,1.7462298274040222e-10,2.6641241420293225e-12,18
