monthlyPayment_t,principalDue_t,totalBalance_t,interestDue_t,activeLoanCount_t
702654.9044247608,309835.7972660266,28354374.317749992,392819.1071587327,1500
702654.9044247608,314102.5648280346,28044538.520483937,388552.3395967235,1500
702654.9044247608,318428.8563695992,27730435.955655944,384226.0480551595,1500
702654.9044247608,322815.5127222248,27412007.099286284,379839.3917025343,1500
702654.9044247608,327263.38673765253,27089191.586564153,375391.5176871058,1500
702654.9044247608,331773.3434616533,26761928.199826483,370881.5609631059,1500
702654.9044247608,336346.2603103602,26430154.8563648,366308.6441143991,1500
702654.9044247608,340983.02724918624,26093808.59605446,361671.87717557215,1500
702654.9044247608,345684.54697435285,25752825.568805285,356970.35745040583,1500
702654.9044247608,350451.7350970718,25407141.02183095,352203.1693276884,1500
702654.9044247608,355285.520330417,25056689.28673383,347369.38409434154,1500
702654.9044247608,360186.8446789447,24701403.766403414,342468.0597458133,1500
702654.9044247608,365156.6636310641,24341216.9217245,337498.2407936957,1500
702654.9044247608,370195.946354239,23976060.25809345,332458.95807051915,1500
702654.9044247608,375305.6758930444,23605864.31173918,327349.2285317149,1500
702654.9044247608,380486.84937010624,23230558.635846153,322168.05505465314,1500
702654.9044247608,385740.4781900084,22850071.786476042,316914.42623475066,1500
702654.9044247608,391067.58824615454,22464331.308286004,311587.316178605,1500
702654.9044247608,396469.2201306789,22073263.720039852,306185.6842940799,1500
702654.9044247608,401946.4293474296,21676794.499909163,300708.4750773297,1500
702654.9044247608,407500.2865280551,21274848.070561778,295154.6178967039,1500
702654.9044247608,413131.8776512716,20867347.78403372,289523.0267734872,1500
702654.9044247608,418842.30426533706,20454215.90638246,283812.6001594222,1500
702654.9044247608,424632.6837137818,20035373.602117106,278022.2207109778,1500
702654.9044247608,430504.1493644472,19610740.9184033,272150.7550603111,1500
702654.9044247608,436457.8508418881,19180236.76903885,266197.05358287133,1500
702654.9044247608,442494.95426316664,18743778.91819699,260159.9501615927,1500
702654.9044247608,448616.6424771174,18301283.963933785,254038.26194764132,1500
702654.9044247608,454824.1153071133,17852667.32145668,247830.7891176452,1500
702654.9044247608,461118.5897973909,17397843.206149593,241536.31462736818,1500
702654.9044247608,467501.3004629847,16936724.616352156,235153.6039617745,1500
702654.9044247608,473973.4995433383,16469223.315889211,228681.40488142072,1500
702654.9044247608,480536.45725962444,15995249.816345865,222118.44716513398,1500
702654.9044247608,487191.4620758464,15514713.359086242,215463.44234891204,1500
702654.9044247608,493939.8209637656,15027521.897010403,208715.08346099273,1500
702654.9044247608,500782.8596717232,14533582.07604658,201872.04475303635,1500
702654.9044247608,507721.92299739877,14032799.216374902,194932.9814273602,1500
702654.9044247608,514758.3750645867,13525077.29337749,187896.52936017208,1500
702654.9044247608,521893.59960401827,13010318.91831291,180761.3048207398,1500
702654.9044247608,529129.0002383246,12488425.31870888,173525.90418643478,1500
702654.9044247608,536466.0007711638,11959296.318470588,166188.90365359542,1500
702654.9044247608,543906.0454806214,11422830.317699429,158748.85894413694,1500
702654.9044247608,551450.5994168982,10878924.272218805,151204.3050078603,1500
702654.9044247608,559101.148704379,10327473.6728019,143553.75572037982,1500
702654.9044247608,566859.2008481427,9768372.524097482,135795.7035766163,1500
702654.9044247608,574726.2850449727,9201513.32324937,127928.61937978421,1500
702654.9044247608,582703.9524989494,8626787.038204396,119950.9519258091,1500
702654.9044247608,590793.7767416546,8044083.085705434,111861.12768310368,1500
702654.9044247608,598997.3539571201,7453289.308963767,103657.55046763932,1500
702654.9044247608,607316.3033115243,6854291.955006667,95338.60111323421,1500
702654.9044247608,615752.2672877575,6246975.6516951285,86902.63713700122,1437
702654.9044247608,623620.8808479777,5680815.184643299,79034.02357678134,1386
702654.9044247608,631370.0017293722,5123387.462266862,71284.90269538623,1340
702654.9044247608,638905.283702543,4581642.700025207,63749.62072221551,1284
702654.9044247608,646188.2111281325,4058647.887472652,56466.69329662687,1225
702654.9044247608,653092.4754184335,3562488.4532589065,49562.42900632481,1162
702654.9044247608,659656.0892308758,3091079.7432210445,42998.81519388398,1094
702654.9044247608,665844.9954955009,2646445.8721614913,36809.90892925902,1004
702654.9044247608,671481.9231716818,2241062.4546597716,31172.981253078342,911
702654.9044247608,676589.3248553735,1873213.5188933662,26065.57956938636,835
702654.9044247608,681247.7075059788,1538296.3890313292,21407.19691878023,729
702654.9044247608,685276.3750249294,1248508.221370572,17378.52939983077,620
702654.9044247608,688690.8399567943,1003036.5229295224,13964.06446796518,523
702654.9044247608,691569.2230147196,795668.9800452972,11085.681410040004,458
702654.9044247608,694103.4242608342,613475.748554839,8551.480163925935,385
702654.9044247608,696154.6560437892,466052.7750299362,6500.248380971042,319
702654.9044247608,697907.096179804,339873.49142882816,4747.808244956531,272
702654.9044247608,699362.7997098432,235278.019404887,3292.1047149172864,223
702654.9044247608,700555.758039499,150258.60341289823,2099.1463852615907,172
702654.9044247608,701426.8630707865,87890.93141593941,1228.041353974054,131
702654.9044247608,702163.1824587118,35335.05056931657,491.721966049027,97
702654.9044247608,702654.9044247608,2.3283064365386963e-10,3.5244593042686265e-12,23
