monthlyPayment_t,principalDue_t,totalBalance_t,interestDue_t,activeLoanCount_t
702654.9044247608,369355.9587459517,24121568.457106963,333298.94567880715,1278
702654.9044247608,373196.517627237,23838030.819842122,329458.38679752155,1277
702654.9044247608,377143.1416037033,23550683.112094924,325511.7628210555,1276
702654.9044247608,380993.6739616193,23270187.36783646,321661.23046313936,1275
702654.9044247608,384767.63727674267,22995540.21874627,317887.26714801596,1275
702654.9044247608,388801.7740900477,22700165.151075628,313853.1303347107,1274
702654.9044247608,392678.6042381109,22418158.853321146,309976.30018664786,1274
702654.9044247608,396609.43100447004,22132275.725418676,306045.4734202884,1274
702654.9044247608,400851.1373891762,21822301.17178357,301803.7670355827,1273
702654.9044247608,404887.6000809108,21528867.892171208,297767.30434384913,1273
702654.9044247608,409417.34914542304,21197455.823623568,293237.5552793352,1271
702654.9044247608,413840.09405032836,20872400.33486593,288814.81037443003,1269
702654.9044247608,418854.0686726671,20505697.759233233,283800.83575209184,1265
702654.9044247608,423210.1652071775,20189420.380857103,279444.73921758117,1264
702654.9044247608,427867.1925272303,19855813.422180604,274787.71189752896,1263
702654.9044247608,433314.5852897066,19465965.400325958,269340.3191350516,1258
702654.9044247608,438714.4290511406,19078260.794584803,263940.47537361813,1254
702654.9044247608,443874.40123808273,18705194.549613904,258780.5031866761,1251
702654.9044247608,449304.52076851507,18311471.02329459,253350.38365624347,1246
702654.9044247608,454685.604252828,17922662.84149121,247969.3001719304,1242
702654.9044247608,459996.5432679982,17536595.497262564,242658.36115676086,1239
702654.9044247608,464878.0113380482,17183499.11226343,237776.89308671028,1238
702654.9044247608,470166.55742996134,16802536.022208765,232488.34699479732,1235
702654.9044247608,475441.7224836656,16421436.78221868,227213.18194109344,1232
702654.9044247608,481002.07570371206,16016913.627093527,221652.8287210467,1228
702654.9044247608,485857.85475510557,15664763.43197769,216797.0496696534,1228
702654.9044247608,490900.69270341087,15298114.188819561,211754.21172134837,1227
702654.9044247608,496291.3053545615,14909252.014165942,206363.59907019674,1225
702654.9044247608,501514.66406600625,14531136.00819826,201140.24035875226,1224
702654.9044247608,506770.9817879535,14147897.489418555,195883.92263680557,1223
702654.9044247608,512100.0786897966,13761140.00248879,190554.82573496224,1222
702654.9044247608,517812.5607477023,13346327.3601011,184842.3436770563,1218
702654.9044247608,523459.00314124033,12939445.390586646,179195.9012835179,1216
702654.9044247608,529456.409632066,12505368.219958464,173198.49479269222,1211
702654.9044247608,535018.638895258,12101415.993077336,167636.26552950003,1210
702654.9044247608,540856.2111623226,11679315.575099677,161798.69326243622,1208
702654.9044247608,546662.1673411775,11257995.651541406,155992.73708358125,1205
702654.9044247608,552526.2338900998,10836217.757179612,150128.67053465836,1203
702654.9044247608,558389.9512985116,10411870.720658343,144264.95312624684,1201
702654.9044247608,564500.9476561842,9967478.933507238,138153.95676857486,1198
702654.9044247608,570571.4153060804,9529365.124134053,132083.4891186781,1196
702654.9044247608,576744.4478116123,9083926.905870643,125910.45661314577,1193
702654.9044247608,582906.798856637,8636489.043002183,119748.10556812181,1191
702654.9044247608,588960.5132935611,8198916.357837015,113694.39113119798,1191
702654.9044247608,595474.4608376876,7727052.060967715,107180.44358707081,1186
702654.9044247608,601742.7523995263,7273548.35384056,100912.15202523161,1184
702654.9044247608,608284.4984644158,6798760.839779641,94370.40596034235,1181
702654.9044247608,614984.0144986183,6317416.958428968,87670.88992614078,1178
702654.9044247608,621446.2259285621,5850738.924175669,81208.67849619742,1176
702654.9044247608,628060.9640554286,5374227.5666647125,74593.94036933064,1173
702654.9044247608,634633.4974699384,4899917.5223106975,68021.40695481982,1122
702654.9044247608,640832.5866859194,4453153.74308239,61822.3177388395,1082
702654.9044247608,647056.1015029944,4004812.528759229,55598.80292176418,1040
702654.9044247608,652887.6334739947,3583839.351272183,49767.27095076402,997
702654.9044247608,658519.1136471299,3178018.6393594486,44135.7907776295,950
702654.9044247608,664054.9295745154,2779055.010938668,38599.974850243336,903
702654.9044247608,669286.3250029252,2401388.0055092205,33368.57942183489,847
702654.9044247608,674055.0025182343,2057837.4338129535,28599.901906525705,778
702654.9044247608,678436.1968994004,1741745.4019008863,24218.707525359652,704
702654.9044247608,682408.2985695683,1455248.3039137614,20246.605855191756,641
702654.9044247608,686046.1059297837,1193545.4223429703,16608.798494975857,561
702654.9044247608,689222.4765993519,965174.5154336658,13432.427825408544,475
702654.9044247608,691860.855668079,775244.0781417058,10794.048756681033,402
702654.9044247608,694122.7609291854,612707.9434653021,8532.143495574908,348
702654.9044247608,696053.2147596494,473991.6535229621,6601.689665110807,290
702654.9044247608,697625.8726458893,360874.97321314807,5029.031778870943,245
702654.9044247608,698970.0431081959,263980.0219381022,3684.8613165645397,205
702654.9044247608,700091.7378438198,183389.31661800217,2563.166580940796,167
702654.9044247608,700996.2024846844,118704.95919160167,1658.7019400760867,136
702654.9044247608,701677.2158910763,70095.60670117257,977.6885336845468,103
702654.9044247608,702255.5703687579,28734.03291932894,399.3340560030002,77
702654.9044247608,702654.9044247608,1.9281287677586079e-10,2.9066797699973294e-12,18
