TR_A_interestDueVal_t,TR_A_interestPayment_t,TR_A_interestShortfall_t,TR_A_principalPayment_t,TR_A_notionalBalanceVal_t,TR_B_interestDueVal_t,TR_B_interestPayment_t,TR_B_interestShortfall_t,TR_B_principalPayment_t,TR_B_notionalBalanceVal_t,reserveAccount_t
0,0,0,0,21265780.738312494,0,0,0,0,7088593.579437498,392819.10715873423
106328.90369156247,106328.90369156247,0,232376.84794951996,21033403.890362974,59071.61316197915,59071.61316197915,0,77458.94931650665,7011134.630120992,615970.9299019187
103989.13483370974,103989.13483370974,0,235576.92362102596,20797826.96674195,57771.741574283194,57771.741574283194,0,78525.64120700865,6932608.988913983,838436.1015490874
102795.02662232376,102795.02662232376,0,238821.64227719937,20559005.32446475,57108.34812351319,57108.34812351319,0,79607.2140923998,6853001.774821583,1058372.1185057864
101584.46844961541,101584.46844961541,0,242111.6345416686,20316893.68992308,56435.815805341896,56435.815805341896,0,80703.8781805562,6772297.896641027,1275743.3519379376
100357.23074934921,100357.23074934921,0,245447.54005323938,20071446.14986984,55754.017082971775,55754.017082971775,0,81815.84668441313,6690482.049956613,1490513.6650687244
99113.080711368,99113.080711368,0,248830.00759623997,19822616.1422736,55062.82261742667,55062.82261742667,0,82943.33586541332,6607538.7140912,1702646.4058543302
97851.78223520415,97851.78223520415,0,252259.69523277011,19570356.44704083,54362.10124178009,54362.10124178009,0,84086.56507759004,6523452.149013611,1912104.3995529204
96573.0958830197,96573.0958830197,0,255737.27043688967,19314619.17660394,53651.719935010944,53651.719935010944,0,85245.75681229656,6438206.392201314,2118849.9411852974
95276.77883186589,95276.77883186589,0,259263.41023076465,19055355.766373176,52931.54379548104,52931.54379548104,0,86421.13674358821,6351785.255457725,2322844.78788564
93962.58482525186,93962.58482525186,0,262838.80132280383,18792516.965050373,52201.43601402881,52201.43601402881,0,87612.93377426795,6264172.321683457,2524050.151140703
92630.2641240128,92630.2641240128,0,266464.1402478128,18526052.82480256,51461.257846673776,51461.257846673776,0,88821.38008260426,6175350.941600854,2722426.6889158324
91279.56345646676,91279.56345646676,0,270140.1335092085,18255912.69129335,50710.86858692598,50710.86858692598,0,90046.71116973617,6085304.230431117,2917934.4976661364
89910.22596785026,89910.22596785026,0,273867.4977232981,17982045.19357005,49950.12553769459,49950.12553769459,0,91289.16590776603,5994015.064523351,3110533.104231114
88521.99116902187,88521.99116902187,0,277646.95976567926,17704398.233804375,49178.88398278993,49178.88398278993,0,92548.98658855975,5901466.077934791,3300181.4576110193
87114.59488442294,87114.59488442294,0,281479.2569197833,17422918.97688459,48396.99715801275,48396.99715801275,0,93826.4189732611,5807639.658961531,3486837.9206232377
85687.76919928506,85687.76919928506,0,285365.1370275797,17137553.839857012,47604.316221825036,47604.316221825036,0,95121.71234252656,5712517.946619004,3670460.26143688
84241.24240607253,84241.24240607253,0,289305.3586425063,16848248.481214505,46800.69022559585,46800.69022559585,0,96435.1195475021,5616082.827071502,3851005.644983819
82774.73895014945,82774.73895014945,0,293300.6911846159,16554947.790029889,45985.96608341636,45985.96608341636,0,97766.89706153864,5518315.930009963,4028430.6242443356
81287.9793746594,81287.9793746594,0,297351.91509800917,16257595.87493188,45159.98854147745,45159.98854147745,0,99117.30503266973,5419198.624977293,4202691.1314055305
79780.68026460653,79780.68026460653,0,301459.8220105722,15956136.052921306,44322.600147003635,44322.600147003635,0,100486.6073368574,5318712.017640436,4373742.468890627
78252.55419012634,78252.55419012634,0,305625.2148960413,15650510.838025266,43473.64121673685,43473.64121673685,0,101875.07163201377,5216836.9460084215,4541539.3002572525
76703.30964893407,76703.30964893407,0,309848.9082384537,15340661.929786813,42612.94980496336,42612.94980496336,0,103282.9694128179,5113553.976595604,4706035.6409627795
75132.65100793904,75132.65100793904,0,314131.7281990028,15026530.20158781,41740.36167107725,41740.36167107725,0,104710.57606633427,5008843.40052927,4867184.848994742
73540.27844401237,73540.27844401237,0,318474.51278533635,14708055.688802473,40855.71024667354,40855.71024667354,0,106158.17092844546,4902685.229600824,5024939.615364369
71925.88788389569,71925.88788389569,0,322878.1120233354,14385177.576779138,39958.82660216427,39958.82660216427,0,107626.0373411118,4795059.192259712,5179251.954461181
70289.17094323861,70289.17094323861,0,327343.38813141605,14057834.188647721,39049.53941291034,39049.53941291034,0,109114.46271047203,4685944.72954924,5330073.194266626
68629.81486475174,68629.81486475174,0,331871.215697375,13725962.972950347,38127.674924862076,38127.674924862076,0,110623.73856579166,4575320.990983449,5477353.966424655
66947.50245546254,66947.50245546254,0,336462.48185783805,13389500.491092509,37193.05691970141,37193.05691970141,0,112154.16061927936,4463166.83036417,5621044.1961671375
65241.91202306086,65241.91202306086,0,341118.086480335,13048382.404612172,36245.506679478254,36245.506679478254,0,113706.02882677832,4349460.801537391,5761093.092091967
63512.71731132065,63512.71731132065,0,345838.9423480432,12702543.46226413,35284.8429507337,35284.8429507337,0,115279.64744934773,4234181.154088044,5897449.135791689
61759.587434584464,61759.587434584464,0,350625.97534723853,12351917.486916892,34310.88190810248,34310.88190810248,0,116875.32511574618,4117305.8289722973,6030060.071330424
