TR_A_interestDueVal_t,TR_A_interestPayment_t,TR_A_interestShortfall_t,TR_A_principalPayment_t,TR_A_notionalBalanceVal_t,TR_B_interestDueVal_t,TR_B_interestPayment_t,TR_B_interestShortfall_t,TR_B_principalPayment_t,TR_B_notionalBalanceVal_t,reserveAccount_t
0,0,0,0,21265780.738312494,0,0,0,0,7088593.579437498,333298.94567880913
106328.90369156247,106328.90369156247,0,277016.96905946377,20988763.76925303,59071.61316197915,59071.61316197915,0,92338.98968648793,6996254.58975101,487708.9768001931
95763.08673760398,95763.08673760398,0,1836146.4217322362,19152617.347520795,53201.71485422443,53201.71485422443,0,612048.8072440787,6384205.782506932,654790.1056328911
86609.07789563833,86609.07789563833,0,1830801.7683931277,17321815.579127666,48116.15438646574,48116.15438646574,0,610267.2561310426,5773938.526375889,841726.1038139282
77497.7909404598,77497.7909404598,0,1822257.3910357063,15499558.18809196,43054.328300255445,43054.328300255445,0,607419.1303452355,5166519.396030653,1039061.2517212307
68449.17722962778,68449.17722962778,0,1809722.7421664046,13689835.445925556,38027.32068312654,38027.32068312654,0,603240.9140554682,4563278.481975185,1237617.4951732485
59428.416397819026,59428.416397819026,0,1804152.16636175,11885683.279563805,33015.78688767724,33015.78688767724,0,601384.0554539167,3961894.4265212687,1455149.5920744021
50467.97415812709,50467.97415812709,0,1792088.4479383873,10093594.831625417,28037.763421181717,28037.763421181717,0,597362.8159794625,3364531.610541806,1682689.3279153844
41567.67029279929,41567.67029279929,0,1780060.773065559,8313534.058559857,23093.150162666276,23093.150162666276,0,593353.591021853,2771178.019519953,1909706.5070671593
32687.618585663167,32687.618585663167,0,1776010.3414272242,6537523.717132634,18159.788103146206,18159.788103146206,0,592003.4471424081,2179174.572377545,2156626.4047222002
23865.247892160667,23865.247892160667,0,1764474.1387005001,4773049.578432133,13258.471051200371,13258.471051200371,0,588158.0462335,1591016.5261440445,2402705.5257822527
15037.100300557633,15037.100300557633,0,1765629.5183206054,3007420.0601115264,8353.94461142091,8353.94461142091,0,588543.1727735351,1002473.3533705091,2661845.760960406
6221.886368023511,6221.886368023511,0,1763042.7865068251,1244377.2736047022,3456.603537790842,3456.603537790842,0,587680.9288356084,414792.42453490105,3644432.649055857
