monthlyPayment_t,principalDue_t,totalBalance_t,interestDue_t,activeLoanCount_t
702654.9044247608,309835.7972660266,28354374.317749992,392819.1071587327,1500
702654.9044247608,314678.41229818825,28003159.017535485,387976.4921265699,1498
702654.9044247608,319276.0479479002,27667303.7055917,383378.8564768585,1497
702654.9044247608,324218.08203666005,27310049.715384435,378436.8223880991,1495
702654.9044247608,330077.1794653952,26890503.375490174,372577.72495936305,1490
702654.9044247608,334883.7644513653,26544916.400495615,367771.1399733939,1489
702654.9044247608,339696.994410809,26192203.852816347,362957.9100139504,1488
702654.9044247608,344486.58160674915,25842235.4048994,358168.32281800936,1487
702654.9044247608,349144.2857206785,25504398.569184445,353510.6187040801,1487
702654.9044247608,354056.79917284625,25146803.15356547,348598.1052519141,1486
702654.9044247608,359371.2300482383,24758373.830834895,343283.6743765205,1484
702654.9044247608,365403.21665266313,24320077.401782166,337251.68777209526,1479
702654.9044247608,370887.9066597088,23921109.402112532,331766.9977650511,1475
702654.9044247608,377322.1073136755,23464811.321190536,325332.7971110828,1470
702654.9044247608,382552.14884634066,23086464.026595443,320102.7555784183,1469
702654.9044247608,388494.5866106286,22649030.235880263,314160.3178141306,1464
702654.9044247608,394895.7775074459,22188038.76873538,307759.1269173132,1459
702654.9044247608,400310.1028475482,21796846.884914942,302344.80157721124,1458
702654.9044247608,407310.58563751495,21288203.214824867,295344.31878724415,1449
702654.9044247608,413285.04474658886,20853191.709779326,289369.8596781704,1446
702654.9044247608,419017.8166290849,20439986.076375216,283637.08779567416,1444
702654.9044247608,425087.37606117665,20004909.209345013,277567.5283635824,1441
702654.9044247608,430790.15835996397,19594380.171596266,271864.7460647954,1440
702654.9044247608,437701.61039522133,19102929.39607729,264953.29402953835,1433
702654.9044247608,443485.15990329033,18684732.707644388,259169.74452146835,1432
702654.9044247608,449882.360236884,18223610.6658605,252772.54418787538,1428
702654.9044247608,455973.1197862612,17784372.78330698,246681.7846384983,1426
702654.9044247608,462749.7053104521,17298540.44046341,239905.19911430683,1421
702654.9044247608,469106.48084833345,16838432.123475894,233548.423576425,1417
702654.9044247608,475472.94078411884,16381484.49677325,227181.9636406402,1415
702654.9044247608,481722.23644037836,15930712.366645213,220932.66798438088,1413
702654.9044247608,488260.6341080602,15458549.52275082,214394.27031669876,1410
702654.9044247608,494764.1252533886,14987252.376647439,207890.77917136994,1408
702654.9044247608,501370.6527784408,14511188.740867984,201284.25164631763,1406
702654.9044247608,507768.9339875733,14047986.872012544,194885.9704371849,1405
702654.9044247608,514449.25565150497,13565058.843220774,188205.6487732545,1402
702654.9044247608,521291.3394105566,13071092.331018917,181363.56501420258,1399
702654.9044247608,528303.5364354055,12565477.969946668,174351.3679893537,1396
702654.9044247608,535046.1167366907,12077532.661695648,167608.78768806753,1395
702654.9044247608,542363.9822778214,11549120.855127996,160290.92214693793,1390
702654.9044247608,549576.9662254038,11028072.580767266,153077.93819935515,1386
702654.9044247608,556617.0021616854,10519229.664562477,146037.90226307252,1384
702654.9044247608,564189.9865228008,9973169.8771785,138464.91790195782,1378
702654.9044247608,571665.8003388622,9432855.640824908,130989.10408589702,1374
702654.9044247608,578910.3765409081,8909002.45972504,123744.52788385075,1372
702654.9044247608,586180.4708207381,8384348.806604759,116474.43360401884,1371
702654.9044247608,593724.0832127326,7838155.2543582115,108930.82121202582,1368
702654.9044247608,601209.2013429202,7296849.5882618185,101445.70308183838,1366
702654.9044247608,608862.139089228,6743936.438873416,93792.7653355311,1364
702654.9044247608,616444.233210846,6197729.819133516,86210.67121391304,1363
702654.9044247608,624116.8848730245,5644580.601198512,78538.01955173371,1301
702654.9044247608,631340.1746582049,5124698.237412836,71314.72976655421,1250
702654.9044247608,638395.0742149216,4617918.2048970545,64259.83020983683,1205
702654.9044247608,645249.9722475273,4124719.1966077844,57404.932177231014,1153
702654.9044247608,651792.0541322243,3654662.350719175,50862.85029253528,1099
702654.9044247608,658046.3863365004,3205335.689529556,44608.51808825802,1039
702654.9044247608,664015.9421660535,2776609.4021123867,38638.96225870652,977
702654.9044247608,669516.3145310967,2380906.3017803635,33138.58989366347,898
702654.9044247608,674536.5902428939,2019688.1788638472,28118.31418186637,821
702654.9044247608,679164.087445198,1686034.2844032857,23490.816979562085,750
702654.9044247608,683422.0340923779,1380176.602845013,19232.870332381848,654
702654.9044247608,687055.6691445182,1118760.7586014736,15599.235280242157,556
702654.9044247608,690260.0012984558,889697.0514520616,12394.903126304078,466
702654.9044247608,692809.668266928,705944.7009283729,9845.236157831696,405
702654.9044247608,695040.0769996906,545587.3019631475,7614.827425069454,338
702654.9044247608,696836.0212251197,416438.126330385,5818.883199640408,283
702654.9044247608,698384.9962534053,304938.048255717,4269.908171354902,240
702654.9044247608,699659.1468629293,213525.58742435442,2995.757561831047,198
702654.9044247608,700747.3255289955,136294.57730522208,1907.5788957649336,157
702654.9044247608,701534.0259613025,80154.60724136993,1120.878463458029,120
702654.9044247608,702208.3622379836,31991.686353365647,446.5421867773271,87
702654.9044247608,702654.9044247608,2.1464074961841106e-10,3.250392883273889e-12,20
