TR_A_interestDueVal_t,TR_A_interestPayment_t,TR_A_interestShortfall_t,TR_A_principalPayment_t,TR_A_notionalBalanceVal_t,TR_B_interestDueVal_t,TR_B_interestPayment_t,TR_B_interestShortfall_t,TR_B_principalPayment_t,TR_B_notionalBalanceVal_t,reserveAccount_t
0,0,0,0,21265780.738312494,0,0,0,0,7088593.579437498,392819.10715873423
106328.90369156247,106328.90369156247,0,309835.7972660266,20955944.94104647,59071.61316197915,59071.61316197915,0,0,7088593.579437498,615970.9299019187
103209.21188109217,103209.21188109217,0,314102.5648280346,20641842.376218434,59071.61316197915,59071.61316197915,0,0,7088593.579437498,837916.152914009
101617.06759924418,101617.06759924418,0,318428.8563695992,20323413.519848835,59071.61316197915,59071.61316197915,0,0,7088593.579437498,1057066.863855322
100002.99003563303,100002.99003563303,0,322815.5127222248,20000598.007126607,59071.61316197915,59071.61316197915,0,0,7088593.579437498,1273383.778344818
98366.67310194478,98366.67310194478,0,327263.38673765253,19673334.620388955,59071.61316197915,59071.61316197915,0,0,7088593.579437498,1486827.0530440016
96707.80638463653,96707.80638463653,0,331773.3434616533,19341561.276927304,59071.61316197915,59071.61316197915,0,0,7088593.579437498,1697356.2776117865
95026.07508308472,95026.07508308472,0,336346.2603103602,19005215.016616944,59071.61316197915,59071.61316197915,0,0,7088593.579437498,1904930.466542297
93321.15994683879,93321.15994683879,0,340983.02724918624,18664231.989367757,59071.61316197915,59071.61316197915,0,0,7088593.579437498,2109508.050883887
91592.73721196702,91592.73721196702,0,345684.54697435285,18318547.442393404,59071.61316197915,59071.61316197915,0,0,7088593.579437498,2311046.86983763
89840.47853648165,89840.47853648165,0,350451.7350970718,17968095.70729633,59071.61316197915,59071.61316197915,0,0,7088593.579437498,2509504.1622335133
88064.05093482959,88064.05093482959,0,355285.520330417,17612810.186965916,59071.61316197915,59071.61316197915,0,0,7088593.579437498,2704836.5578825204
86263.11671143485,86263.11671143485,0,360186.8446789447,17252623.34228697,59071.61316197915,59071.61316197915,0,0,7088593.579437498,2897000.068802803
84437.33339327954,84437.33339327954,0,365156.6636310641,16887466.678655908,59071.61316197915,59071.61316197915,0,0,7088593.579437498,3085950.0803180663
82586.35366150834,82586.35366150834,0,370195.946354239,16517270.732301667,59071.61316197915,59071.61316197915,0,0,7088593.579437498,3271641.342026295
80709.82528204312,80709.82528204312,0,375305.6758930444,16141965.056408623,59071.61316197915,59071.61316197915,0,0,7088593.579437498,3454027.9586369274
78807.39103519259,78807.39103519259,0,380486.84937010624,15761478.207038518,59071.61316197915,59071.61316197915,0,0,7088593.579437498,3633063.380674508
76878.68864424255,76878.68864424255,0,385740.4781900084,15375737.72884851,59071.61316197915,59071.61316197915,0,0,7088593.579437498,3808700.3950468926
74923.35070301178,74923.35070301178,0,391067.58824615454,14984670.140602354,59071.61316197915,59071.61316197915,0,0,7088593.579437498,3980891.115475983
72941.00460235839,72941.00460235839,0,396469.2201306789,14588200.920471676,59071.61316197915,59071.61316197915,0,0,7088593.579437498,4149586.9727889765
70931.27245562123,70931.27245562123,0,401946.4293474296,14186254.491124246,59071.61316197915,59071.61316197915,0,0,7088593.579437498,4314738.705068082
68893.77102298095,68893.77102298095,0,407500.2865280551,13778754.20459619,59071.61316197915,59071.61316197915,0,0,7088593.579437498,4476296.34765661
66828.11163472458,66828.11163472458,0,413131.8776512716,13365622.326944917,59071.61316197915,59071.61316197915,0,0,7088593.579437498,4634209.22301933
64733.90011339791,64733.90011339791,0,418842.30426533706,12946780.022679582,59071.61316197915,59071.61316197915,0,0,7088593.579437498,4788425.930454931
62610.736694829,62610.736694829,0,424632.6837137818,12522147.3389658,59071.61316197915,59071.61316197915,0,0,7088593.579437498,4938894.335658437
60458.215948006764,60458.215948006764,0,430504.1493644472,12091643.189601352,59071.61316197915,59071.61316197915,0,0,7088593.579437498,5085561.560131323
58275.92669379733,58275.92669379733,0,436457.8508418881,11655185.338759465,59071.61316197915,59071.61316197915,0,0,7088593.579437498,5228373.97043714
56063.45192248149,56063.45192248149,0,442494.95426316664,11212690.384496298,59071.61316197915,59071.61316197915,0,0,7088593.579437498,5367277.167300322
53820.3687100959,53820.3687100959,0,448616.6424771174,10764073.74201918,59071.61316197915,59071.61316197915,0,0,7088593.579437498,5502215.974545894
51546.24813356034,51546.24813356034,0,454824.1153071133,10309249.626712067,59071.61316197915,59071.61316197915,0,0,7088593.579437498,5633134.427877724
49240.655184573385,49240.655184573385,0,461118.5897973909,9848131.036914676,59071.61316197915,59071.61316197915,0,0,7088593.579437498,5759975.763492947
46903.148682258456,46903.148682258456,0,467501.3004629847,9380629.736451691,59071.61316197915,59071.61316197915,0,0,7088593.579437498,5882682.4065301325
44533.28118454176,44533.28118454176,0,473973.4995433383,8906656.236908352,59071.61316197915,59071.61316197915,0,0,7088593.579437498,6001195.9593487475
42130.59889824363,42130.59889824363,0,480536.45725962444,8426119.779648727,59071.61316197915,59071.61316197915,0,0,7088593.579437498,6115457.189637438
39694.641587864404,39694.641587864404,0,487191.4620758464,7938928.317572881,59071.61316197915,59071.61316197915,0,0,7088593.579437498,6225406.01834859
37224.94248304557,37224.94248304557,0,493939.8209637656,7444988.496609114,59071.61316197915,59071.61316197915,0,0,7088593.579437498,6330981.5074566025
34721.028184686955,34721.028184686955,0,500782.8596717232,6944205.636937391,59071.61316197915,59071.61316197915,0,0,7088593.579437498,6432121.847537298
32182.418569699963,32182.418569699963,0,507721.92299739877,6436483.713939993,59071.61316197915,59071.61316197915,0,0,7088593.579437498,6528764.345165793
29608.626694377028,29608.626694377028,0,514758.3750645867,5921725.3388754055,59071.61316197915,59071.61316197915,0,0,7088593.579437498,6620845.4101301795
26999.15869635694,26999.15869635694,0,521893.59960401827,5399831.739271387,59071.61316197915,59071.61316197915,0,0,7088593.579437498,6708300.542458279
24353.51369516531,24353.51369516531,0,529129.0002383246,4870702.739033062,59071.61316197915,59071.61316197915,0,0,7088593.579437498,6791064.319254731
21671.183691309485,21671.183691309485,0,536466.0007711638,4334236.738261897,59071.61316197915,59071.61316197915,0,0,7088593.579437498,6869070.381345581
18951.653463906387,18951.653463906387,0,543906.0454806214,3790330.692781277,59071.61316197915,59071.61316197915,0,0,7088593.579437498,6942251.419727557
16194.400466821902,16194.400466821902,0,551450.5994168982,3238880.0933643803,59071.61316197915,59071.61316197915,0,0,7088593.579437498,7010539.161819138
13398.894723300004,13398.894723300004,0,559101.148704379,2679778.9446600005,59071.61316197915,59071.61316197915,0,0,7088593.579437498,7073864.357510476
10564.598719059284,10564.598719059284,0,566859.2008481427,2112919.743811857,59071.61316197915,59071.61316197915,0,0,7088593.579437498,7132156.765009225
7690.967293834426,7690.967293834426,0,574726.2850449727,1538193.458766885,59071.61316197915,59071.61316197915,0,0,7088593.579437498,7185345.136479223
4777.447531339675,4777.447531339675,0,582703.9524989494,955489.506267935,59071.61316197915,59071.61316197915,0,0,7088593.579437498,7233357.20346901
1823.4786476314068,1823.4786476314068,0,590793.7767416546,364695.72952628136,59071.61316197915,59071.61316197915,0,0,7088593.579437498,7276119.662127039
0,0,0,364695.72952628136,0.0,57119.09962505549,57119.09962505549,0,234301.62443083897,6854291.955006659,7314339.163615221
0,0,0,0,0.0,52058.1304307928,52058.1304307928,0,607316.303311523,6246975.651695136,7349183.670321432
0,0,0,0,0.0,46926.86153672815,46926.86153672815,0,615752.2672877572,5631223.384407379,7381290.832361485
0,0,0,0,0.0,41730.02086299499,41730.02086299499,0,623620.8808479793,5007602.503559399,7410845.714193878
0,0,0,0,0.0,36468.60418191689,36468.60418191689,0,631370.0017293729,4376232.5018300265,7438126.730734177
0,0,0,0,0.0,31144.39348439568,31144.39348439568,0,638905.2837025449,3737327.2181274816,7463449.030546407
0,0,0,0,0.0,25759.49172499456,25759.49172499456,0,646188.2111281343,3091139.0069993474,7487251.967827739
0,0,0,0,0.0,20317.054429840948,20317.054429840948,0,653092.4754184335,2438046.531580914,7509933.728591782
0,0,0,0,0.0,14819.920352916977,14819.920352916977,0,659656.0892308764,1778390.4423500374,7531923.717168123
0,0,0,0,0.0,9271.212057121129,9271.212057121129,0,665844.9954955019,1112545.4468545355,7553825.486364082
0,0,0,0,0.0,3675.5293640237924,3675.5293640237924,0,671481.9231716804,441063.52368285507,7811741.3377419645
0,0,0,0,0.0,0,0,0,441063.52368285507,0.0,8514396.242166726
0,0,0,0,0.0,0,0,0,0,0.0,9217051.146591486
0,0,0,0,0.0,0,0,0,0,0.0,9919706.051016247
0,0,0,0,0.0,0,0,0,0,0.0,10622360.955441007
0,0,0,0,0.0,0,0,0,0,0.0,11325015.859865768
0,0,0,0,0.0,0,0,0,0,0.0,12027670.764290528
0,0,0,0,0.0,0,0,0,0,0.0,12730325.668715289
0,0,0,0,0.0,0,0,0,0,0.0,13432980.57314005
0,0,0,0,0.0,0,0,0,0,0.0,14135635.47756481
0,0,0,0,0.0,0,0,0,0,0.0,14838290.38198957
0,0,0,0,0.0,0,0,0,0,0.0,15540945.28641433
0,0,0,0,0.0,0,0,0,0,0.0,16243600.190839091
