TR_A_interestDueVal_t,TR_A_interestPayment_t,TR_A_interestShortfall_t,TR_A_principalPayment_t,TR_A_notionalBalanceVal_t,TR_B_interestDueVal_t,TR_B_interestPayment_t,TR_B_interestShortfall_t,TR_B_principalPayment_t,TR_B_notionalBalanceVal_t,reserveAccount_t
0,0,0,0,21265780.738312494,0,0,0,0,7088593.579437498,392819.10715873423
106328.90369156247,106328.90369156247,0,309835.7972660266,20955944.94104647,59071.61316197915,59071.61316197915,0,0,7088593.579437498,604887.0181080225
103103.95010900089,103103.95010900089,0,335154.9192462909,20620790.021800175,59071.61316197915,59071.61316197915,0,0,7088593.579437498,826090.3113139032
101349.86659114124,101349.86659114124,0,350816.70357192936,20269973.31822825,59071.61316197915,59071.61316197915,0,0,7088593.579437498,1034647.0801172989
99475.91738775738,99475.91738775738,0,374789.8406767739,19895183.477551475,59071.61316197915,59071.61316197915,0,0,7088593.579437498,1230359.1879543292
97328.71979995296,97328.71979995296,0,429439.5175608827,19465743.95999059,59071.61316197915,59071.61316197915,0,0,7088593.579437498,1441729.9949657924
95107.6124285027,95107.6124285027,0,444221.4742900494,19021522.48570054,59071.61316197915,59071.61316197915,0,0,7088593.579437498,1650508.679389262
92810.52669250258,92810.52669250258,0,459417.1472000275,18562105.338500515,59071.61316197915,59071.61316197915,0,0,7088593.579437498,1856794.862352792
90452.69333398364,90452.69333398364,0,471566.6717037859,18090538.66679673,59071.61316197915,59071.61316197915,0,0,7088593.579437498,2060781.1745609117
88077.92545939992,88077.92545939992,0,474953.57491674484,17615585.091879983,59071.61316197915,59071.61316197915,0,0,7088593.579437498,2254947.0141521622
85648.47184681873,85648.47184681873,0,485890.72251623694,17129694.369363748,59071.61316197915,59071.61316197915,0,0,7088593.579437498,2443992.1279112287
83090.39441951575,83090.39441951575,0,511615.48546059825,16618078.88390315,59071.61316197915,59071.61316197915,0,0,7088593.579437498,2632530.4358643424
80286.15622732101,80286.15622732101,0,560847.6384389473,16057231.245464202,59071.61316197915,59071.61316197915,0,0,7088593.579437498,2812541.7611232926
77354.73863308511,77354.73863308511,0,586283.5188471787,15470947.726617023,59071.61316197915,59071.61316197915,0,0,7088593.579437498,2986314.269346731
74153.32546038693,74153.32546038693,0,640282.6345396364,14830665.092077386,59071.61316197915,59071.61316197915,0,0,7088593.579437498,3173192.0863027843
70899.7271359379,70899.7271359379,0,650719.6648898071,14179945.427187579,59071.61316197915,59071.61316197915,0,0,7088593.579437498,3341465.0131603032
67448.49297294019,67448.49297294019,0,690246.8325995393,13489698.59458804,59071.61316197915,59071.61316197915,0,0,7088593.579437498,3504724.574333299
63756.31377341868,63756.31377341868,0,738435.8399043028,12751262.754683737,59071.61316197915,59071.61316197915,0,0,7088593.579437498,3684241.4489751137
60006.8726662197,60006.8726662197,0,749888.2214397979,12001374.53324394,59071.61316197915,59071.61316197915,0,0,7088593.579437498,3821765.5521154464
55899.95163361636,55899.95163361636,0,821384.2065206668,11179990.326723272,59071.61316197915,59071.61316197915,0,0,7088593.579437498,3975904.6359108435
51633.407559854684,51633.407559854684,0,853308.8147523346,10326681.511970937,59071.61316197915,59071.61316197915,0,0,7088593.579437498,4143365.5870684995
47292.834521029516,47292.834521029516,0,868114.6077650334,9458566.904205903,59071.61316197915,59071.61316197915,0,0,7088593.579437498,4308014.137551623
42830.155860418825,42830.155860418825,0,892535.7321221374,8566031.172083765,59071.61316197915,59071.61316197915,0,0,7088593.579437498,4477977.114594023
38324.47567298761,38324.47567298761,0,901136.0374862433,7664895.134597521,59071.61316197915,59071.61316197915,0,0,7088593.579437498,4640500.521478516
33556.212830712444,33556.212830712444,0,953652.5684550332,6711242.566142488,59071.61316197915,59071.61316197915,0,0,7088593.579437498,4799454.956076114
28746.185854076994,28746.185854076994,0,962005.39532709,5749237.170815399,59071.61316197915,59071.61316197915,0,0,7088593.579437498,4957847.118224341
23785.332635167513,23785.332635167513,0,992170.6437818963,4757066.527033502,59071.61316197915,59071.61316197915,0,0,7088593.579437498,5121671.957065695
18753.659400074837,18753.659400074837,0,1006334.6470185362,3750731.880014967,59071.61316197915,59071.61316197915,0,0,7088593.579437498,5261696.852551172
13531.375729282183,13531.375729282183,0,1044456.7341585322,2706275.1458564363,59071.61316197915,59071.61316197915,0,0,7088593.579437498,5414137.423867568
8188.463216378279,8188.463216378279,0,1068582.5025807817,1637692.6432756558,59071.61316197915,59071.61316197915,0,0,7088593.579437498,5556603.273659886
2755.6088430639356,2755.6088430639356,0,1086570.874662868,551121.7686127871,59071.61316197915,59071.61316197915,0,0,7088593.579437498,5703583.904442519
0,0,0,551121.7686127871,0.0,54503.78317931729,54503.78317931729,0,548139.5979194231,6540453.981518075,5857133.515407735
0,0,0,0,0.0,45165.82818179174,45165.82818179174,0,1120554.599703066,5419899.381815009,6011964.549546463
0,0,0,0,0.0,35699.10911125416,35699.10911125416,0,1136006.288464509,4283893.0933505,6177549.692081529
0,0,0,0,0.0,26092.990691116855,26092.990691116855,0,1152734.2104164772,3131158.8829340227,6340367.050060523
0,0,0,0,0.0,16438.036709314307,16438.036709314307,0,1158594.477816306,1972564.4051177166,6500020.0735898055
0,0,0,0,0.0,6642.351378262105,6642.351378262105,0,1175482.239726264,797082.1653914526,7065955.056973055
0,0,0,0,0.0,0,0,0,797082.1653914526,0.0,8451967.839141164
0,0,0,0,0.0,0,0,0,0,0.0,9842829.52499388
0,0,0,0,0.0,0,0,0,0,0.0,11241678.950147104
0,0,0,0,0.0,0,0,0,0,0.0,12661160.016297465
0,0,0,0,0.0,0,0,0,0,0.0,14103741.671054147
0,0,0,0,0.0,0,0,0,0,0.0,15562122.229710381
0,0,0,0,0.0,0,0,0,0,0.0,17044760.19020012
0,0,0,0,0.0,0,0,0,0,0.0,18542204.10245378
0,0,0,0,0.0,0,0,0,0,0.0,20031700.12462915
0,0,0,0,0.0,0,0,0,0,0.0,21518525.323787123
0,0,0,0,0.0,0,0,0,0,0.0,23025135.151223417
0,0,0,0,0.0,0,0,0,0,0.0,24534841.934131205
0,0,0,0,0.0,0,0,0,0,0.0,26044710.71067299
0,0,0,0,0.0,0,0,0,0,0.0,27553456.07382441
0,0,0,0,0.0,0,0,0,0,0.0,29058768.610741884
0,0,0,0,0.0,0,0,0,0,0.0,30575217.59125672
0,0,0,0,0.0,0,0,0,0,0.0,32096253.350669414
0,0,0,0,0.0,0,0,0,0,0.0,33625891.88823271
0,0,0,0,0.0,0,0,0,0,0.0,35156989.02830576
0,0,0,0,0.0,0,0,0,0,0.0,36706785.550032645
0,0,0,0,0.0,0,0,0,0,0.0,38266026.560336895
0,0,0,0,0.0,0,0,0,0,0.0,39821776.281699374
0,0,0,0,0.0,0,0,0,0,0.0,41368995.05489247
0,0,0,0,0.0,0,0,0,0,0.0,42915530.57548201
0,0,0,0,0.0,0,0,0,0,0.0,44460631.80533985
0,0,0,0,0.0,0,0,0,0,0.0,46037227.308201015
0,0,0,0,0.0,0,0,0,0,0.0,47614581.15546964
0,0,0,0,0.0,0,0,0,0,0.0,49199341.865731135
0,0,0,0,0.0,0,0,0,0,0.0,50806464.3256857
0,0,0,0,0.0,0,0,0,0,0.0,52430061.88685678
0,0,0,0,0.0,0,0,0,0,0.0,54073532.69830555
0,0,0,0,0.0,0,0,0,0,0.0,55745387.598288365
0,0,0,0,0.0,0,0,0,0,0.0,57411256.98696905
0,0,0,0,0.0,0,0,0,0,0.0,59107895.69555839
